PRIMA_PAGINA	ANNOTATOR	TYPE	ID
IMG1293	ANNOTATOR03	area of interest	clnhyc0t900022v6o273ljyt1
IMG1293	ANNOTATOR03	area of interest	clnhycpa500072v6o0a6xozry
IMG1293	ANNOTATOR03	testo	clnhyd6ug000d2v6ou6ahwmbh
IMG1293	ANNOTATOR03	testo	clnhydnqx000k2v6oqwfy4m4b
IMG1293	ANNOTATOR03	testo	clnhydvsh000r2v6oigfgcu5r
IMG1293	ANNOTATOR03	immagine	clnhye6md000y2v6oqze7bprk
IMG1293	ANNOTATOR03	partecipante	clnhygqen001d2v6o83850ed8
IMG1293	ANNOTATOR03	partecipante	clnhyhdil001i2v6o33hwz8rt
IMG1293	ANNOTATOR03	contained	clnhyhsa9001o2v6onmysdshs
IMG1293	ANNOTATOR03	testo	clnhyifou001s2v6o8d9x7udj
IMG1293	ANNOTATOR03	connected metaphor	clnhyjayw00242v6o9hz514t3
IMG1293	ANNOTATOR03	contained	clnsoz4dz00043b6o3tgi8ury
IMG1293	ANNOTATOR03	contained	clnsoz71900063b6o11nwjxmt
IMG1293	ANNOTATOR03	contained	clnsoz8kl00083b6o913rxqy2
IMG1293	ANNOTATOR02	area of interest	clnvhyd9y00013b6o4idrrc44
IMG1293	ANNOTATOR02	testo	clnvhzdzp00093b6oojyly03c
IMG1293	ANNOTATOR02	immagine	clnvi053k000l3b6oh6320536
IMG1293	ANNOTATOR02	partecipante	clnvi6h0y00123b6oxpqc1fq7
IMG1293	ANNOTATOR02	connected metaphor	clnvib85b001f3b6o8srgpei9
IMG1293	ANNOTATOR02	area of interest	clnxrla0s00013b6odyuo4fyg
IMG1293	ANNOTATOR02	testo	clnxrlrx100093b6ogdm0g08q
IMG1293	ANNOTATOR02	area of interest	clnxsejqe003e3b6oz4oza2yo
IMG1293	ANNOTATOR02	testo	clnxsfjln003m3b6ofa5sfb0x
IMG1293	ANNOTATOR02	contained	clnyeh40b00023b6oswt5jcvf
IMG1293	ANNOTATOR02	contained	clnyeh8k800043b6ofkykvhrm
IMG1293	ANNOTATOR02	contained	clnyehj1700083b6o2mnyr61d
IMG1293	ANNOTATOR02	contained	clnyehmib000a3b6oqrdqbmuj
IMG1293	ANNOTATOR02	contained	clnyehphc000c3b6o2gmpslqp
IMG1293	ANNOTATOR01	area of interest	clnx1t0500027356o702r15fg
IMG1293	ANNOTATOR01	area of interest	clnx32qh9002m356osbrb78bs
IMG1293	ANNOTATOR01	testo	clnx34nbm0030356o0dcqczkz
IMG1293	ANNOTATOR01	testo	clnx35a6j0037356od3kdl9ys
IMG1293	ANNOTATOR01	testo	clnx35p5c003e356o26ceh8jp
IMG1293	ANNOTATOR01	immagine	clnx363r9003l356o8oc7wxvd
IMG1293	ANNOTATOR01	partecipante	clnx36ypb003u356orrec1oac
IMG1293	ANNOTATOR01	partecipante	clnx3ao4m0043356onqzyl27v
IMG1293	ANNOTATOR01	connected metaphor	clnx3dnki004f356oj8pwbuet
IMG1293	ANNOTATOR01	contained	clnyeilrd000e3b6otxw25p5j
IMG1293	ANNOTATOR01	contained	clnyeix8z000g3b6ozxgdc0gq
IMG1293	ANNOTATOR01	contained	clnyeiztn000i3b6oaxrdyjvn
IMG1293	ANNOTATOR01	contained	clnyejflm000m3b6oogz7qabd
IMG1293	ANNOTATOR01	contained	clnyejhmf000o3b6o6zcwvbuc
IMG1293	ANNOTATOR01	contained	clnyejjpf000q3b6oq92sxb7p
IMG4675	ANNOTATOR03	area of interest	clnhzdecl02ps07io1rg10ee4
IMG4675	ANNOTATOR03	testo	clnhzdecl02pt07iofwffbuts
IMG4675	ANNOTATOR03	testo	clnhzdecl02px07ioc3koaxbe
IMG4675	ANNOTATOR03	testo	clnhzdecl02q307io9nhm8y68
IMG7895	ANNOTATOR03	area of interest	clnj1lcpi001d2v6o4bwmzb25
IMG7895	ANNOTATOR03	testo	clnj1lr4f001j2v6oqtj1nesf
IMG7895	ANNOTATOR03	testo	clnj1lykx001q2v6ot3n6jvvx
IMG7895	ANNOTATOR03	area of interest	clnj1nfgj001z2v6o409nbdz6
IMG7895	ANNOTATOR03	testo	clnj1ntnk00252v6oduswsvot
